Date,ACC,AMBUJACEM,RELIANCE,TATASTEEL
2015-01-01,1236.871337890625,194.80870056152344,189.12538146972656,28.31410789489746
2015-01-02,1256.5672607421875,197.5458526611328,188.6248321533203,28.755146026611328
2015-01-05,1263.396728515625,197.2892608642578,186.55868530273438,29.17168617248535
2015-01-06,1219.246337890625,190.01869201660156,178.09181213378906,27.757558822631836
2015-01-07,1205.058349609375,188.2652130126953,181.96847534179688,27.22550392150879
2015-01-08,1226.1639404296875,193.65399169921875,179.3592071533203,27.649044036865234
2015-01-09,1232.421142578125,191.43002319335938,183.24649047851562,27.97807502746582
2015-01-12,1237.796630859375,195.02255249023438,181.11647033691406,27.77505874633789
2015-01-13,1270.490478515625,196.81881713867188,179.59347534179688,27.407522201538086
2015-01-14,1302.788330078125,199.1710662841797,177.8468780517578,26.381927490234375
2015-01-15,1334.557373046875,205.6717987060547,184.0878448486328,26.934986114501953
2015-01-16,1338.0380859375,204.73092651367188,185.24871826171875,26.84046745300293
2015-01-19,1350.8604736328125,211.1033477783203,187.3681182861328,26.934986114501953
2015-01-20,1360.9066162109375,211.4455108642578,192.35235595703125,28.142587661743164
2015-01-21,1361.0386962890625,210.9750518798828,193.1404571533203,27.7995548248291
2015-01-22,1373.684814453125,212.98516845703125,188.24143981933594,28.240602493286133
2015-01-23,1358.923583984375,215.9789581298828,188.912353515625,28.219594955444336
2015-01-27,1347.158935546875,214.0115966796875,189.37033081054688,27.890562057495117
2015-01-28,1360.4661865234375,213.02793884277344,193.16180419921875,27.383018493652344
2015-01-29,1394.9666748046875,218.92990112304688,197.96499633789062,27.330516815185547
2015-01-30,1375.138427734375,212.77133178710938,194.95101928710938,27.334012985229492
2015-02-02,1343.854248046875,213.19900512695312,193.4174041748047,26.871967315673828
2015-02-03,1329.446044921875,209.6065216064453,199.71165466308594,26.679454803466797
2015-02-04,1318.2099609375,212.77133178710938,197.83718872070312,27.246509552001953
2015-02-05,1325.876953125,211.74488830566406,196.75088500976562,26.549942016601562
2015-02-06,1328.2125244140625,212.34364318847656,193.8114471435547,25.807876586914062
2015-02-09,1329.66650390625,210.4190673828125,190.9998016357422,24.3237361907959
2015-02-10,1377.0775146484375,213.49839782714844,187.86863708496094,25.0448055267334
2015-02-11,1368.220947265625,214.5675811767578,191.851806640625,25.552350997924805
2015-02-12,1405.76171875,222.13755798339844,193.6516571044922,25.573354721069336
2015-02-13,1432.067138671875,226.75650024414062,195.43023681640625,25.66086196899414
2015-02-16,1422.7257080078125,227.6973876953125,192.29913330078125,25.888383865356445
2015-02-18,1456.96240234375,231.03329467773438,192.0541534423828,25.727365493774414
2015-02-19,1423.3428955078125,226.71371459960938,192.139404296875,26.269914627075195
2015-02-20,1427.96923828125,225.04576110839844,185.9729461669922,26.231416702270508
2015-02-23,1424.047607421875,224.23313903808594,181.36141967773438,25.716867446899414
2015-02-24,1425.854248046875,220.08465576171875,179.23135375976562,25.139314651489258
2015-02-25,1459.1212158203125,223.2922821044922,179.59347534179688,24.565258026123047
