Date,AMZN,BAC,GOOG,JPM,NFLX,WFC
2010-01-04,6.695000171661377,12.038232803344727,15.473811149597168,28.279193878173828,0.7639999985694885,17.835866928100586
2010-01-05,6.734499931335449,12.429533958435059,15.405668258666992,28.826976776123047,0.7358570098876953,18.325510025024414
2010-01-06,6.612500190734863,12.575307846069336,15.017312049865723,28.9853572845459,0.761713981628418,18.351619720458984
2010-01-07,6.5,12.989628791809082,14.667716026306152,29.559513092041016,0.74857097864151,19.01752471923828
2010-01-08,6.676000118255615,12.874543190002441,14.863251686096191,29.48692512512207,0.7614290118217468,18.841257095336914
2010-01-11,6.515500068664551,12.989628791809082,14.84078598022461,29.387939453125,0.7604290246963501,18.80208969116211
2010-01-12,6.367499828338623,12.55229377746582,14.57834243774414,28.701568603515625,0.7481430172920227,18.332033157348633
2010-01-13,6.45550012588501,12.751776695251465,14.494647026062012,29.20315933227539,0.7708569765090942,18.658466339111328
2010-01-14,6.367499828338623,12.905233383178711,14.562788009643555,29.493518829345703,0.7284290194511414,18.926124572753906
2010-01-15,6.35699987411499,12.475565910339355,14.319602012634277,28.826976776123047,0.7278569936752319,18.332033157348633
2010-01-19,6.380499839782715,12.521599769592285,14.507733345031738,28.562986373901367,0.7314289808273315,18.46260643005371
2010-01-20,6.289000034332275,12.652037620544434,14.32972526550293,28.642187118530273,0.7319999933242798,18.162288665771484
2010-01-21,6.330999851226807,11.869434356689453,14.39317512512207,26.75469970703125,0.7312859892845154,18.27980613708496
2010-01-22,6.071499824523926,11.432103157043457,13.579179763793945,25.84395980834961,0.7269999980926514,17.79669952392578
2010-01-25,6.015500068664551,11.493480682373047,13.332043647766113,25.8769588470459,0.7018569707870483,18.05783462524414
2010-01-26,5.973999977111816,11.332358360290527,13.391790390014648,25.368793487548828,0.7135710120201111,17.620424270629883
2010-01-27,6.137499809265137,11.654605865478516,13.383889198303223,25.956148147583008,0.7281429767608643,18.410381317138672
2010-01-28,6.301499843597412,11.792707443237305,13.191069602966309,26.05513572692871,0.9005709886550903,18.573585510253906
2010-01-29,6.270500183105469,11.646933555603027,13.083671569824219,25.69875717163086,0.8892859816551208,18.56053352355957
