Date,CL=F,RB=F
2010-01-04,81.51000213623047,2.1043999195098877
2010-01-05,81.7699966430664,2.125
2010-01-06,83.18000030517578,2.1366000175476074
2010-01-07,82.66000366210938,2.1349000930786133
2010-01-08,82.75,2.1552999019622803
2010-01-11,82.5199966430664,2.142699956893921
2010-01-12,80.79000091552734,2.0978000164031982
2010-01-13,79.6500015258789,2.0601999759674072
2010-01-14,79.38999938964844,2.0738000869750977
2010-01-15,78.0,2.0453999042510986
2010-01-19,79.0199966430664,2.0590999126434326
2010-01-20,77.62000274658203,2.0464999675750732
2010-01-21,76.08000183105469,1.9829000234603882
2010-01-22,74.54000091552734,1.9657000303268433
2010-01-25,75.26000213623047,2.0007998943328857
2010-01-26,74.70999908447266,1.9673999547958374
2010-01-27,73.66999816894531,1.9392000436782837
2010-01-28,73.63999938964844,1.9174000024795532
2010-01-29,72.88999938964844,1.9031000137329102
2010-02-01,74.43000030517578,1.9321000576019287
2010-02-02,77.2300033569336,2.017899990081787
2010-02-03,76.9800033569336,2.0362000465393066
2010-02-04,73.13999938964844,1.9507999420166016
2010-02-05,71.19000244140625,1.8863999843597412
2010-02-08,71.88999938964844,1.8940000534057617
2010-02-09,73.75,1.9290000200271606
2010-02-10,74.5199966430664,1.9290000200271606
2010-02-11,75.27999877929688,1.9357000589370728
2010-02-12,74.12999725341797,1.9294999837875366
2010-02-16,77.01000213623047,1.9881999492645264
2010-02-17,77.33000183105469,2.0071001052856445
2010-02-18,79.05999755859375,2.069200038909912
2010-02-19,79.80999755859375,2.085700035095215
2010-02-22,80.16000366210938,2.115799903869629
2010-02-23,78.86000061035156,2.0655999183654785
2010-02-24,80.0,2.098900079727173
2010-02-25,78.16999816894531,2.0369999408721924
2010-02-26,79.66000366210938,2.0787999629974365
2010-03-01,78.69999694824219,2.155600070953369
2010-03-02,79.68000030517578,2.1965999603271484
2010-03-03,80.87000274658203,2.2476000785827637
2010-03-04,80.20999908447266,2.2337000370025635
2010-03-05,81.5,2.2709999084472656
2010-03-08,81.87000274658203,2.2892000675201416
2010-03-09,81.48999786376953,2.2602999210357666
2010-03-10,82.08999633789062,2.285099983215332
2010-03-11,82.11000061035156,2.2720000743865967
2010-03-12,81.23999786376953,2.255000114440918
2010-03-15,79.80000305175781,2.2228000164031982
