Date,c,rsi,target_position,executed_position,return,strategy_return,strategy_equity,buy_hold_equity,order_action,order_reason
2017-01-02,8179.5,,0,0.0,,,1.0,1.0,,
2017-01-03,8192.25,,0,0.0,0.0015587749862460143,0.0,1.0,1.001558774986246,,
2017-01-04,8190.5,,0,0.0,-0.00021361652781592966,-0.0,1.0,1.00134482547833,,
2017-01-05,8273.7998046875,,0,0.0,0.01017029542610337,0.0,1.0,1.0115287981768444,,
2017-01-06,8243.7998046875,,0,0.0,-0.0036259035398709116,-0.0,1.0,1.0078610923268536,,
2017-01-09,8236.0498046875,,0,0.0,-0.0009401004613908137,-0.0,1.0,1.0069136016489393,,
2017-01-10,8288.599609375,,0,0.0,0.0063804622280927425,0.0,1.0,1.0133381758512132,,
2017-01-11,8380.650390625,,0,0.0,0.01110570972035907,0.0,1.0,1.024592015480775,,
2017-01-12,8407.2001953125,,0,0.0,0.003167988574872327,0.0,1.0,1.0278379112797236,,
2017-01-13,8400.349609375,,0,0.0,-0.0008148474852923693,-0.0,1.0,1.0270003801424292,,
2017-01-16,8412.7998046875,,0,0.0,0.0014821044232022906,0.0,1.0,1.0285225019484687,,
2017-01-17,8398.0,,0,0.0,-0.0017592008642893786,-0.0,1.0,1.0267131242740999,,
2017-01-18,8417.0,,0,0.0,0.002262443438914019,0.0,1.0,1.0290360046457607,,
2017-01-19,8435.099609375,,0,0.0,0.0021503634757038537,0.0,1.0,1.031248806085335,,
2017-01-20,8349.349609375,67.17508966771665,0,0.0,-0.010165855054597661,-0.0,1.0,1.0207652801974447,,
2017-01-23,8391.5,70.76546553464206,-1,0.0,0.005048344194100052,0.0,1.0,1.0259184546732685,SELL,enter short: RSI above upper threshold
2017-01-24,8475.7998046875,76.33950295026469,-1,-1.0,0.010045856484240057,-0.010045856484240057,0.9899541435157599,1.0362246842334495,,
2017-01-25,8602.75,81.9277678250699,-1,-1.0,0.014977960574563243,-0.014977960574563243,0.9751266493835554,1.0517452167002874,,
2017-01-27,8641.25,83.22198106567065,-1,-1.0,0.00447531312661642,-0.00447531312661642,0.9707626522894557,1.0564521058744423,,
2017-01-30,8632.75,81.82868789544109,-1,-1.0,-0.0009836539852451365,0.0009836539852451365,0.9717175468411074,1.0554129225502782,,
2017-01-31,8561.2998046875,71.05922373584093,-1,-1.0,-0.008276643631809133,0.008276643631809133,0.9797601066870871,1.0466776459059233,,
2017-02-01,8716.400390625,77.86841732710997,-1,-1.0,0.01811647640847469,-0.01811647640847469,0.9620103058283259,1.0656397567852558,,
2017-02-02,8734.25,78.49548599201744,-1,-1.0,0.002047818890261066,-0.002047818890261066,0.9600402829514249,1.0678219940094138,,
2017-02-03,8740.9501953125,78.73900321278528,-1,-1.0,0.0007671174184962215,-0.0007671174184962215,0.9593038193279148,1.0686411388608719,,
2017-02-06,8801.0498046875,80.83537907132302,-1,-1.0,0.006875638006406781,-0.006875638006406781,0.9527079935280526,1.0759887284904335,,
2017-02-07,8768.2998046875,76.41375892563082,-1,-1.0,-0.0037211469911869743,0.0037211469911869743,0.9562531600116492,1.0719848162708603,,
2017-02-08,8769.0498046875,76.445534093573,-1,-1.0,8.55353964515082e-05,-8.55353964515082e-05,0.9561713665184995,1.07207650891711,,
2017-02-09,8778.400390625,76.8640185150145,-1,-1.0,0.0010663168924529565,-0.0010663168924529565,0.955151784838301,1.0732196822085704,,
2017-02-10,8793.5498046875,77.5596470847216,-1,-1.0,0.0017257602055471555,-0.0017257602055471555,0.9535034218977697,1.075071802027936,,
2017-02-13,8805.0498046875,78.09799138048285,-1,-1.0,0.001307776751758416,-0.001307776751758416,0.9522564522898898,1.076477755937099,,
2017-02-14,8792.2998046875,75.92327612713672,-1,-1.0,-0.0014480326951941125,0.0014480326951941125,0.953635350767015,1.074918980950853,,
2017-02-15,8724.7001953125,65.5079012299953,-1,-1.0,-0.007688501401983627,0.007688501401983627,0.9609673774983684,1.0666544648587937,,
2017-02-16,8778.0,69.10649827636743,-1,-1.0,0.006109070053333943,-0.006109070053333943,0.9550967604702623,1.0731707317073174,,
2017-02-17,8821.7001953125,71.71236764492633,-1,-1.0,0.004978377228582742,-0.004978377228582742,0.950341928506844,1.0785133804404305,,
2017-02-20,8879.2001953125,74.73244379551501,-1,-1.0,0.0065180179247708026,-0.0065180179247708026,0.9441475827821751,1.0855431499862465,,
2017-02-21,8907.849609375,76.1015096691583,-1,-1.0,0.003226575978951818,-0.003226575978951818,0.9411012188709847,1.0890457374381077,,
2017-02-22,8926.900390625,76.99415912713218,-1,-1.0,0.0021386509747480797,-0.0021386509747480797,0.9390885318319097,1.091374826166025,,
2017-02-23,8939.5,77.59033556207012,-1,-1.0,0.0014114204061503877,-0.0014114204061503877,0.9377630831149003,1.0929152148664345,,
2017-02-27,8896.7001953125,70.87173038485741,-1,-1.0,-0.004787717958219084,0.004787717958219084,0.9422528282684843,1.0876826450654076,,
2017-02-28,8879.599609375,68.32600583077445,-1,-1.0,-0.0019221268068030373,0.0019221268068030373,0.9440639576884852,1.0855919810960328,,
2017-03-01,8945.7998046875,72.45144478337781,-1,-1.0,0.007455313102474381,-0.007455313102474381,0.9370256652951564,1.0936854092166393,,
2017-03-02,8899.75,66.01071641195838,-1,-1.0,-0.0051476453411544165,0.0051476453411544165,0.941849141095655,1.0880555046151967,,
2017-03-03,8897.5498046875,65.71015132892921,-1,-1.0,-0.0002472199008398679,0.0002472199008398679,0.9420819849469227,1.0877865156412374,,
2017-03-06,8963.4501953125,70.10138535918544,-1,-1.0,0.00740657732427441,-0.00740657732427441,0.9351043818796074,1.0958432905816373,,
2017-03-07,8946.900390625,67.75472535494725,-1,-1.0,-0.0018463654426456033,0.0018463654426456033,0.9368309262955763,1.0938199633993524,,
2017-03-08,8924.2998046875,64.57562876268412,-1,-1.0,-0.0025260799775062015,0.0025260799775062015,0.9391974361408001,1.0910568866908128,,
2017-03-09,8927.0,64.7882039039095,-1,-1.0,0.0003025666294942386,-0.0003025666294942386,0.9389132663381173,1.0913870040956053,,
2017-03-10,8934.5498046875,65.41315565062081,-1,-1.0,0.0008457269729471584,-0.0008457269729471584,0.9381192020635173,1.092310019522893,,
2017-03-14,9087.0,75.04473402200928,-1,-1.0,0.017062996865551794,-0.017062996865551794,0.9221120770591935,1.110948101962223,,
2017-03-15,9084.7998046875,74.72132730590599,-1,-1.0,-0.0002421255983823256,0.0002421255983823256,0.9223353439976272,1.1106791129882636,,
2017-03-16,9153.7001953125,77.92903809840543,-1,-1.0,0.0075841396735512046,-0.0075841396735512046,0.9153402239228963,1.1191026585136625,,
2017-03-17,9160.0498046875,78.20353472795813,-1,-1.0,0.0006936658662091144,-0.0006936658662091144,0.9147052836535927,1.1198789418286574,,
2017-03-20,9126.849609375,73.08525700842397,-1,-1.0,-0.0036244557639315556,0.0036244557639315556,0.9180205924912296,1.115819990143041,,
2017-03-21,9121.5,72.26454861633835,-1,-1.0,-0.0005861397529225432,0.0005861397529225432,0.9185586808544902,1.1151659636897124,,
2017-03-22,9030.4501953125,59.92948786499372,-1,-1.0,-0.009981889457600146,0.009981889457600146,0.9277276320670989,1.1040345003132837,,
2017-03-23,9086.2998046875,63.9898665061241,-1,-1.0,0.006184587497530369,-0.006184587497530369,0.9219900193527032,1.1108624982807633,,
2017-03-24,9108.0,65.45460466157141,-1,-1.0,0.002388232369495924,-0.002388232369495924,0.9197880929441329,1.1135154960572167,,
2017-03-27,9045.2001953125,58.09050361989092,-1,-1.0,-0.006895015885759803,0.006895015885759803,0.9261300464565155,1.1058377890228626,,
2017-03-28,9100.7998046875,62.15060271465025,-1,-1.0,0.006146863328001739,-0.006146863328001739,0.9204372516369914,1.1126352227749257,,
2017-03-29,9143.7998046875,64.97655275740047,-1,-1.0,0.004724859454424246,-0.004724859454424246,0.9160883149863901,1.1178922678265792,,
2017-03-30,9173.75,66.83399193112109,-1,-1.0,0.003275464899958447,-0.003275464899958447,0.9130876998653901,1.12155388471178,,
2017-03-31,9173.75,66.83399193112109,-1,-1.0,0.0,-0.0,0.9130876998653901,1.12155388471178,,
